,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
122,23010,8,42.14,42.74,33.0,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,33.0,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
123,23011,9,48.73,49.4,38.7,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,38.7,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
124,23012,10,31.64,32.1,24.9,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,24.9,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
125,23098,6,79.98,81.31,177.4,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,146.6,38.21,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
126,23099,7,80.64,81.99,180.9,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,149.6,38.84,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
127,23100,8,83.09,84.49,179.8,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,146.8,42.14,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
128,23101,9,91.48,93.01,213.4,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,174.7,48.73,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
129,23102,10,74.43,75.69,158.2,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,133.3,31.64,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
130,23188,6,68.76,69.89,419.4,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,242.0,79.98,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
131,23189,7,69.48,70.62,425.8,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,244.9,80.64,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
132,23190,8,69.72,70.85,429.3,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,249.5,83.09,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
133,23191,9,72.84,74.05,480.0,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,266.6,91.48,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
134,23192,10,67.59,68.71,384.7,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,226.5,74.43,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
135,23273,6,8.73,9.05,540.3,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,120.9,68.76,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
