,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
809,39507,10,24.71,25.04,40.9,18.3,97.0,1.0,0.0,0,-1,1002.74,879.53,39.4,3.44,17.0,99.0,1.0,0.0,-1.0,0.0,1003.53,347.4,11
814,39597,10,24.18,24.57,128.4,20.5,84.0,3.0,0.0,1,0,1000.49,731.19,87.5,24.71,18.3,97.0,1.0,0.0,0.0,-1.0,1002.74,879.53,14
819,39687,10,0.0,0.07,144.9,16.8,94.0,4.0,0.0,1,0,1003.53,2.09,16.5,24.18,20.5,84.0,3.0,0.0,1.0,0.0,1000.49,731.19,17
824,39777,10,0.0,0.0,144.9,13.5,97.0,4.0,0.4,1,0,1006.97,0.0,0.0,0.0,16.8,94.0,4.0,0.0,1.0,0.0,1003.53,2.09,20
834,40137,10,4.45,4.78,1.6,6.3,86.0,3.0,10.0,0,1,1015.03,345.17,1.6,0.0,7.0,81.0,2.0,7.0,-1.0,1.0,1013.05,0.0,8
839,40227,10,6.61,6.83,15.3,6.4,78.0,3.0,9.0,-1,1,1017.01,879.04,13.7,4.45,6.3,86.0,3.0,10.0,0.0,1.0,1015.03,345.17,11
844,40317,10,5.88,6.11,41.0,6.6,69.0,2.0,7.0,-1,1,1016.62,732.59,25.7,6.61,6.4,78.0,3.0,9.0,-1.0,1.0,1017.01,879.04,14
849,40407,10,0.0,0.07,50.3,5.9,67.0,2.0,4.0,0,1,1018.2,2.41,9.3,5.88,6.6,69.0,2.0,7.0,-1.0,1.0,1016.62,732.59,17
854,40497,10,0.0,0.0,50.3,5.3,61.0,2.0,0.6,-1,1,1020.19,0.0,0.0,0.0,5.9,67.0,2.0,4.0,0.0,1.0,1018.2,2.41,20
864,40857,10,9.99,10.25,3.9,3.7,46.0,3.0,0.1,-1,1,1022.57,343.13,3.9,0.0,3.7,47.0,2.0,0.1,0.0,1.0,1020.98,0.0,8
869,40947,10,55.43,56.39,65.4,5.1,42.0,3.0,0.0,0,1,1022.3,878.75,61.5,9.99,3.7,46.0,3.0,0.1,-1.0,1.0,1022.57,343.13,11
874,41037,10,24.58,24.95,146.6,6.2,44.0,3.0,0.0,1,1,1019.53,734.21,81.2,55.43,5.1,42.0,3.0,0.0,0.0,1.0,1022.3,878.75,14
879,41127,10,0.44,0.82,180.1,5.6,50.0,3.0,0.0,1,0,1019.66,2.8,33.5,24.58,6.2,44.0,3.0,0.0,1.0,1.0,1019.53,734.21,17
884,41217,10,0.0,0.0,180.2,5.1,46.0,4.0,0.0,1,1,1020.72,0.0,0.1,0.44,5.6,50.0,3.0,0.0,1.0,0.0,1019.66,2.8,20
